text,conf,x1,y1,x2,y2,block_num,line_num
tan,93.0,104,31,155,54,1,1
chay,92.0,168,27,243,62,1,1
yee,96.0,253,36,309,67,1,1
***,74.0,143,101,174,110,2,1
COPY,85.0,183,101,231,116,2,1
***,75.0,239,101,271,110,2,1
OJC,58.0,90,123,123,137,2,2
MARKETING,96.0,130,123,238,137,2,2
SDN,96.0,244,123,280,137,2,2
BHD,96.0,288,123,325,137,2,2
ROC,95.0,131,147,165,159,2,3
NO:,92.0,171,146,199,159,2,3
538358-H,90.0,205,146,284,159,2,3
NO,95.0,112,169,133,181,2,4
2,90.0,139,169,147,181,2,4
&,90.0,154,169,164,181,2,4
"4,",96.0,170,169,184,183,2,4
JALAN,92.0,190,168,236,181,2,4
BAYU,91.0,244,168,282,181,2,4
"4,",96.0,289,169,302,184,2,4
BANDAR,91.0,130,189,192,202,2,5
SERI,92.0,198,189,232,202,2,5
"ALAM,",96.0,239,189,284,204,2,5
81750,95.0,125,211,170,224,2,6
"MASAI,",92.0,178,211,231,226,2,6
JOHOR,96.0,237,211,290,224,2,6
Tel:07-388,88.0,77,231,158,245,2,7
2218,91.0,165,232,201,245,2,7
Fax:07-388,43.0,209,231,292,245,2,7
8218,93.0,299,232,335,245,2,7
Email:,93.0,115,253,158,266,2,8
ng@ojegroup.com,83.0,165,253,299,269,2,8
TAX,96.0,150,296,183,310,3,1
INVOICE,96.0,190,296,264,310,3,1
“Invoice,47.0,15,322,81,341,5,1
No”:,29.0,89,328,107,341,5,1
PEGIV-1030765,70.0,134,328,252,342,5,1
Date,96.0,20,340,63,373,5,2
2,45.0,124,354,127,363,5,2
15/01/2019,61.0,131,349,221,365,5,2
11:05:16,95.0,230,350,296,363,5,2
AM,96.0,302,350,324,364,5,2
Cashier,96.0,21,368,83,392,5,3
:,80.0,124,375,127,384,5,3
NG,96.0,134,372,155,384,5,3
CHUAN,96.0,161,372,213,384,5,3
MIN,95.0,221,371,250,384,5,3
Sales,93.0,29,394,66,406,5,4
Persor,85.0,73,394,118,406,5,4
:,77.0,124,397,127,406,5,4
FATIN,92.0,134,394,178,406,5,4
Bill,90.0,30,414,49,427,5,5
To,90.0,55,415,73,427,5,5
:,57.0,124,418,127,427,5,5
THE,96.0,133,415,167,428,5,5
PEAK,96.0,173,414,216,427,5,5
QUARRY,96.0,223,414,296,430,5,5
WORKS,66.0,301,410,366,435,5,5
Address,96.0,29,446,87,459,5,6
Ss,35.0,178,521,186,553,6,1
Price,67.0,237,530,271,543,6,1
Amount,55.0,298,531,356,543,6,1
Total,94.0,126,636,163,650,8,1
GST,88.0,170,637,199,650,8,1
@6%:,88.0,205,625,250,651,8,1
Total,96.0,103,657,139,671,8,2
Inclusive,94.0,147,657,210,671,8,2
GST:,90.0,217,657,251,670,8,2
id,52.0,201,678,209,692,8,3
Amt:,89.0,215,679,250,692,8,3
VISA,95.0,148,732,183,745,10,1
CARD,96.0,189,732,230,744,10,1
9000000000004,62.0,96,754,218,766,10,2
318,62.0,222,754,229,766,10,2
Approval,93.0,89,775,152,790,10,3
Code:000,92.0,159,774,229,787,10,3
Goods,95.0,36,848,80,861,11,1
Sold,96.0,86,848,116,861,11,1
Are,95.0,123,849,147,861,11,1
Not,93.0,154,849,177,861,11,1
Returnable,90.0,185,848,264,861,11,1
&,92.0,270,849,280,861,11,1
Refundable,96.0,288,849,370,862,11,1
You.,82.0,136,869,168,881,11,2
Please,96.0,175,868,220,881,11,2
Come,93.0,227,868,267,881,11,2
Again.+***,8.0,274,869,357,884,11,2
